expression,reading,meaning
先程,さきほど,a little while ago
索引,さくいん,"index, indices"
作者,さくしゃ,"author, artist"
削除,さくじょ,"elimination, deletion"
作成,さくせい,"creation, preparation, to make"
作製,さくせい,"manufacture, production"
探る,さぐる,"to search, to look for, investigate"
囁く,ささやく,"to whisper, to murmur"
刺さる,ささる,"to stick, to be stuck"
匙,さじ,spoon
座敷,ざしき,tatami room
差し支え,さしつかえ,"hindrance, impediment"
差し引き,さしひき,"deduction, balance"
刺身,さしみ,sliced raw fish
刺す,さす,"to pierce, to stab, to prick, to thrust"
流石,さすが,"indeed, truly, as one would expect"
撮影,さつえい,photographing
雑音,ざつおん,"noise jarring, grating"
早速,さっそく,"at once, immediately, promptly"
錆,さび,rust color
錆びる,さびる,"to rust, to become rusty"
座布団,ざぶとん,cushion Japanese
妨げる,さまたげる,"to disturb, to prevent"
騒がしい,さわがしい,noisy
三角,さんかく,"triangle, triangular"
算数,さんすう,arithmetic
酸性,さんせい,acidity acidic
産地,さんち,producing area
山林,さんりん,mountain forest
仕上がる,しあがる,to be finished
明明後日,しあさって,two days after tomorrow
寺院,じいん,temple
自衛,じえい,self-defense
塩辛,しおから,salty taste
塩辛い,しおからい,salty taste
司会,しかい,"host, chairperson"
四角い,しかくい,square
仕方がない,しかたがない,"it can't be helped, it's inevitable"
時間割,じかんわり,"timetable, schedule"
四季,しき,four seasons
敷地,しきち,site
敷く,しく,"to spread out, to lay out"
茂る,しげる,to grow thick
持参,じさん,"bringing, taking, carrying"
磁石,じしゃく,magnet
四捨五入,ししゃごにゅう,rounding up fractions
始終,しじゅう,"continuously, always, constantly"
自習,じしゅう,self-study
静まる,しずまる,"to quieten down, to calm down"
姿勢,しせい,attitude; posture
自然科学,しぜんかがく,natural science
時速,じそく,speed per hour
子孫,しそん,"descendant, offspring"
死体,したい,corpse
下書き,したがき,"rough copy, draft"
自宅,じたく,one's own home same as 自分の家 じぶんのいえ
下町,したまち,old parts of town
自治,じち,"self-government, autonomy"
室,しつ,room
実感,じっかん,"feelings, realization"
湿気,しっき,"moisture, humidity, dampness"
しつこい,しつこい,"insistent, obstinate"
実習,じっしゅう,"practice, training"
実績,じっせき,"achievements, actual results"
湿度,しつど,level of humidity
執筆,しっぴつ,writing
実物,じつぶつ,an actual thing
しっぽ,しっぽ,tail animal
実用,じつよう,"practical use, utility"
実力,じつりょく,"real ability, true strength, merit, efficiency, competency"
実例,じつれい,"example, instance"
しつれいしました かん,しつれいしました かん,"Excuse me., I'm sorry."
失恋,しつれん,"broken heart, unrequited love"
指定,してい,"designation, specification, assignment"
私鉄,してつ,private railway
児童,じどう,"children, juvenile"
縛る,しばる,"to tie, to bind"
地盤,じばん,the ground
紙幣,しへい,"paper money, notes, bills"
萎む,しぼむ,"to wither of flowers, dreams, etc., to wilt"
絞る,しぼる,"to press, to wring, to squeeze"
縞,しま,stripe
地味,じみ,"plain, simple, subdued, sober"
氏名,しめい,full name
締切,しめきり,deadline
締め切り,しめきり,"deadline, closing, cut-off, end"
締め切る,しめきる,"to close, cancel"
地面,じめん,"ground, earth's surface"
社会科学,しゃかいかがく,social science
蛇口,じゃぐち,"faucet, tap"
弱点,じゃくてん,"weak point, weakness"
車庫,しゃこ,"garage, car shed"
車掌,しゃしょう,train conductor
写生,しゃせい,"sketching, drawing from nature"
社説,しゃせつ,editorial
車輪,しゃりん,car wheel
洒落,しゃれ,"joke, pun, witticism"
重,じゅう,heavy ~
集会,しゅうかい,"meeting, assembly"
住居,じゅうきょ,"dwelling, house, residence, address"
集金,しゅうきん,money collection
集合,しゅうごう,"gathering, assembly"
習字,しゅうじ,penmanship
修繕,しゅうぜん,"repair, mending"
重体,じゅうたい,"serious condition, critical condition"
終点,しゅうてん,"terminus, last stop e.g train"
重点,じゅうてん,"important point, lay stress on, emphasis"
就任,しゅうにん,"inauguration, assumption of office"
周辺,しゅうへん,"circumference, peripheral"
重役,じゅうやく,"director, high executive"
終了,しゅうりょう,"end, close, termination"
重量,じゅうりょう,heavyweight
重力,じゅうりょく,gravity
熟語,じゅくご,"idiom, kanji compound"
祝日,しゅくじつ,national holiday
縮小,しゅくしょう,"reduction, curtailment"
受験,じゅけん,taking an examination
主語,しゅご,gram subject
主人,しゅじん,one's own husband
出勤,しゅっきん,"going to work, at work"
述語,じゅつご,predicate
出張,しゅっちょう,"official tour, business trip"
寿命,じゅみょう,life span
主役,しゅやく,leading part
受話器,じゅわき,telephone receiver
循環,じゅんかん,"circulation, rotation, cycle"
巡査,じゅんさ,policeman
順々,じゅんじゅん,"in order, in turn"
順序,じゅんじょ,"order, sequence, procedure"
純情,じゅんじょう,pure heart
純粋,じゅんすい,"pure, genuine, unmixed"
